time,region,size,api_price,cli_price,pay_as_you_go_price,1_year_reserved_price,3_year_reserved_price,%_saving_pay_as_you_go,%_saving_1y_reserved,%_saving_3y_reserved
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_D4s_v3,0.077271,0.077271,0.258,0.16267123287671234,0.11092085235920852,70.05,52.49866947368421,30.336813722126927
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_E2_v4,0.018438,0.018438,0.152,0.08972602739726028,0.05776255707762557,87.86973684210525,79.4507786259542,68.07966798418971
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_D8s_v3,0.154542,0.154542,0.516,0.3253424657534247,0.22184170471841705,70.05,52.49866947368421,30.336813722126927
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_E8_v4,0.07375,0.07375,0.608,0.358675799086758,0.2310502283105023,87.87006578947368,79.43825588796946,68.08053359683794
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_E16_v4,0.147501,0.147501,1.216,0.7174657534246576,0.46206240487062405,87.8699835526316,79.44138806682578,68.07768854484065
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_E4s_v4,0.036875,0.036875,0.304,0.179337899543379,0.11552511415525114,87.87006578947368,79.43825588796946,68.08053359683794
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_E4_v4,0.036875,0.036875,0.304,0.179337899543379,0.11552511415525114,87.87006578947368,79.43825588796946,68.08053359683794
2021-06-30 02:57:24.994786-04:00,japaneast,Standard_E2s_v4,0.018438,0.018438,0.152,0.08972602739726028,0.05776255707762557,87.86973684210525,79.4507786259542,68.07966798418971
2021-06-30 02:57:24.994786-04:00,southindia,Standard_D2s_v3,0.029862,-inf,0.135,0.08584474885844749,0.05414764079147641,77.88000000000001,65.21394680851064,44.8507828531272
2021-06-30 02:57:24.994786-04:00,southindia,Standard_D8s_v3,0.119669,-inf,0.541,0.34337899543378997,0.21655251141552512,77.8800369685767,65.14958643617021,44.739038481813395
2021-06-30 02:57:24.994786-04:00,southindia,Standard_D4s_v3,0.059945,0.059945,0.271,0.17157534246575343,0.1082572298325723,77.88007380073802,65.06199600798404,44.627254833040425
2021-06-30 02:57:24.994786-04:00,southindia,Standard_E8s_v3,0.15441,0.15441,0.667,0.42899543378995436,0.2743150684931507,76.85007496251876,64.00660989888239,43.7107116104869
2021-06-30 02:57:24.994786-04:00,southindia,Standard_E4s_v3,0.077321,0.077321,0.409,0.21449771689497718,0.13713850837138508,81.09511002444987,63.95253006918574,43.61831631520533
2021-06-30 02:57:24.994786-04:00,southindia,Standard_E2_v4,0.018403,0.018403,0.167,0.09840182648401827,0.06335616438356165,88.98023952095808,81.2981113689095,70.9531027027027
2021-06-30 02:57:24.994786-04:00,southindia,Standard_E8_v4,0.073503,0.073503,0.667,0.39337899543378996,0.25338660578386607,88.98005997001499,81.31496575739989,70.99175792160986
2021-06-30 02:57:24.994786-04:00,southindia,Standard_E4_v4,0.036697,0.036697,0.333,0.19668949771689498,0.12667427701674278,88.97987987987989,81.34267440510736,71.03042475217782
2021-06-30 02:57:24.994786-04:00,southindia,Standard_E16_v4,0.147007,-inf,1.334,0.7867579908675799,0.5067732115677321,88.97998500749627,81.31483865351132,70.99156059468389
2021-06-30 02:57:24.994786-04:00,southindia,Standard_E2s_v4,0.018403,0.018403,0.167,0.09840182648401827,0.06335616438356165,88.98023952095808,81.2981113689095,70.9531027027027
2021-06-30 02:57:24.994786-04:00,southindia,Standard_E4s_v4,0.036697,0.036697,0.333,0.19668949771689498,0.12667427701674278,88.97987987987989,81.34267440510736,71.03042475217782
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_D2s_v3,0.030154,0.030154,0.116,0.07351598173515982,0.049809741248097415,74.0051724137931,58.98306832298137,39.461640947288004
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_E8s_v3,0.139942,0.139942,0.624,0.36689497716894975,0.23462709284627092,77.57339743589743,61.85774984443061,40.35556665585468
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_E4s_v3,0.069971,0.069971,0.372,0.18344748858447488,0.11731354642313546,81.19059139784946,61.85774984443061,40.35556665585468
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_D8s_v3,0.120616,0.120616,0.464,0.2939497716894977,0.19927701674277018,74.0051724137931,58.96713941747572,39.473200687416465
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_E2_v4,0.017662,0.017662,0.152,0.08995433789954338,0.05795281582952816,88.38026315789473,80.36559390862944,69.52348260013133
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_D4s_v3,0.060308,0.060308,0.232,0.14703196347031963,0.09965753424657534,74.0051724137931,58.98306832298137,39.484756013745695
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_E16_v4,0.141764,0.141764,1.22,0.719634703196347,0.4634703196347032,88.38000000000001,80.30056091370558,69.41249655172413
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_E2s_v4,0.017662,0.017662,0.152,0.08995433789954338,0.05795281582952816,88.38026315789473,80.36559390862944,69.52348260013133
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_E4s_v4,0.035441,0.035441,0.305,0.17990867579908676,0.1158675799086758,88.38000000000001,80.30056091370558,69.41249655172413
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_E4_v4,0.035441,0.035441,0.305,0.17990867579908676,0.1158675799086758,88.38000000000001,80.30056091370558,69.41249655172413
2021-06-30 02:57:24.994786-04:00,ukwest,Standard_E8_v4,0.070882,0.070882,0.61,0.3598173515981735,0.2317351598173516,88.38000000000001,80.30056091370558,69.41249655172413
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_D2s_v3,0.02772,0.02772,0.132,0.07614155251141552,0.04950532724505327,79.0,63.59412293853073,44.00602613374327
2021-06-30 02:57:24.994786-04:00,eastasia,Standard_D4s_v3,0.05544,0.05544,0.264,0.1521689497716895,0.09901065449010654,79.0,63.56681170292573,44.00602613374327
